City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
300,sao miguel,-5.4667,-35.3667,27.29,63,12,6.08,BR,1738369080
301,asubulaq,49.5583,83.0558,-16.02,98,100,1.41,KZ,1738369081
302,nsanje,-16.92,35.262,23.69,79,70,0.94,MW,1738369083
303,catano,18.4413,-66.1182,26.01,81,40,3.09,PR,1738369084
304,sur,22.5667,59.5289,19.7,43,9,4.64,OM,1738369085
305,vorkuta,67.5,64.0,-28.35,100,78,1.5,RU,1738369086
306,gaspe,48.8334,-64.4819,-13.88,56,0,3.09,CA,1738369088
307,rancho palos verdes,33.7445,-118.387,15.13,78,90,3.13,US,1738369056
308,narva,59.3772,28.1903,3.09,99,100,0.56,EE,1738369090
309,kudahuvadhoo,2.6708,72.8944,27.14,79,88,3.82,MV,1738369092
310,leitchfield,37.48,-86.2939,11.21,76,34,2.81,US,1738368859
311,china,25.7,-99.2333,23.15,17,100,3.69,MX,1738369033
312,priozersk,61.0393,30.1291,0.05,86,79,1.21,RU,1738369095
313,bantva,21.4864,70.0689,15.75,72,56,2.37,IN,1738369096
314,alaghsas,17.0187,8.0168,18.32,19,95,6.24,NE,1738369099
315,krasnogvardeyskoye,45.8456,41.5186,3.26,85,87,4.42,RU,1738369100
316,karonga,-9.9333,33.9333,22.87,85,99,1.97,MW,1738368817
317,bamboo flat,11.7,92.7167,23.05,94,40,1.03,IN,1738369102
318,oltinko'l,40.8011,72.1634,-0.33,79,25,1.98,UZ,1738369104
319,corralillo,22.9819,-80.5856,24.31,81,46,6.52,CU,1738369105
320,malabar,-33.9667,151.25,26.59,67,75,5.66,AU,1738369106
321,boaco,12.4722,-85.6586,23.82,81,1,4.34,NI,1738369107
322,kigoma,-4.8769,29.6267,21.89,84,74,2.05,TZ,1738369109
323,newman,37.3138,-121.0208,11.14,83,100,1.79,US,1738369110
324,kourou,5.1552,-52.6478,24.54,85,65,3.97,GF,1738369111
325,balabac,7.9868,117.0645,27.06,82,1,4.33,PH,1738369112
326,malakal,9.5334,31.6605,25.63,21,16,4.29,SS,1738369113
327,namibe,-15.1961,12.1522,22.22,79,100,2.63,AO,1738369115
328,tazacorte,28.629,-17.9293,17.54,80,100,6.17,ES,1738369116
329,trairi,-3.2778,-39.2689,26.35,78,82,3.83,BR,1738368966
330,alice springs,-23.7,133.8833,33.75,8,0,4.63,AU,1738369075
331,st. john's,47.5649,-52.7093,-3.35,79,75,8.75,CA,1738369099
332,gazli,40.1333,63.45,-0.86,75,0,4.14,UZ,1738369122
333,lompoc,34.6391,-120.4579,14.83,69,0,5.14,US,1738369123
334,likiep,9.8251,169.3107,26.82,70,75,6.67,MH,1738369124
335,laiyang,36.9758,120.7136,-1.27,76,93,2.86,CN,1738369127
336,ponta delgada,37.7333,-25.6667,18.44,82,75,8.75,PT,1738369129
337,toba,34.4833,136.85,7.01,71,43,4.75,JP,1738369131
338,praia da vitoria,38.7333,-27.0667,18.14,88,75,9.69,PT,1738369132
339,kupang,-10.1667,123.5833,28.32,89,20,1.03,ID,1738369133
340,morehead city,34.7229,-76.726,17.8,94,40,6.17,US,1738368840
341,zapala,-38.8992,-70.0544,24.36,19,8,6.68,AR,1738369058
342,vorgashor,67.5833,63.95,-27.19,100,66,1.48,RU,1738368930
343,charikar,35.0136,69.1714,-2.02,32,0,2.84,AF,1738369138
344,huntsville,34.7304,-86.5861,13.7,84,100,5.36,US,1738368751
345,ariquemes,-9.9133,-63.0408,23.86,96,84,0.9,BR,1738369140
346,chonchi,-42.6128,-73.8092,15.07,73,9,1.04,CL,1738369141
347,khovd,48.0056,91.6419,-19.59,74,7,2.93,MN,1738369143
348,ushirombo,-3.4919,31.9639,17.9,94,67,0.13,TZ,1738369093
349,irkutsk,52.2978,104.2964,-24.57,84,75,1.0,RU,1738369145
350,rabak,13.1809,32.74,22.23,24,4,5.67,SD,1738369146
351,si sa ket,14.8333,104.3333,18.5,55,53,2.18,TH,1738369147
352,nieuw amsterdam,5.8833,-55.0833,26.01,89,40,3.6,SR,1738369149
353,hadibu,12.65,54.0333,22.55,73,83,5.95,YE,1738369086
354,siavonga,-16.5382,28.7088,23.02,85,92,1.76,ZM,1738369151
355,sao gabriel,-30.3364,-54.32,26.97,45,44,1.9,BR,1738369152
356,nagqu,31.5,92.0,-2.7,7,0,11.99,CN,1738369153
357,tan-tan,28.438,-11.1032,14.41,72,0,8.23,MA,1738369155
358,miandrivazo,-19.5167,45.4667,26.18,90,82,0.32,MG,1738369156
359,jayapura,-2.5333,140.7,27.66,86,100,0.34,ID,1738369157
360,woolgoolga,-30.1106,153.2007,27.93,82,16,5.65,AU,1738369158
361,puerto carreno,6.189,-67.4859,30.99,48,0,3.25,CO,1738368939
